"Category","売上金額","累計構成比"
"生ﾚﾓﾝｻﾜｰ60分飲み放題",240500,6.612392806376491
"生ビール",214510,12.51020727995579
"元祖やみつきハラミ",202160,18.0684664472617
"本日の赤字焼肉A",170400,22.753504843130948
"上ハラミ",165300,27.298322019405518
"カルビ",123600,30.696624517817718
"元祖やみつき塩タン",118560,33.95635545804224
"生タンユッケ",93600,36.52982725295633
"ハラミ",88920,38.97462545812472
"厚切り牛タン",80620,41.191220501991964
"本日の赤字焼肉B",74480,43.23900019520993
"冷麺",71520,45.205396592349416
"牛ホルモン",64980,46.99197989612632
"ハイボール",62530,48.7112020257842
"キムチ盛り合わせ",62060,50.41750180775395
"牛タン",58580,52.02812122811792
"上ミノ",57620,53.61234606596995
"5種盛り合わせ",53760,55.09044268663856
"ご飯(大",53750,56.56826436373934
"日替わりホルモンミックス",52200,58.00346978782604
"白センマイ刺し",46400,59.27920794256978
"本日の赤字焼肉C",42920,60.45926573570774
"せせり",42280,61.621727140504404
"ご飯(中",38600,62.68300931233863
"まるちょう",35720,63.66510773663705
"元祖やみつき牛塩タン",35380,64.63785807962915
"ウーロン茶",32100,65.52042693237213
"6秒焼きロース",31920,66.39804680089412
"焼きすきカルビ",30400,67.23387524710553
"白菜キムチ",29640,68.04880798216166
"ナムル盛り合わせ",29580,68.8620910558108
"飲み放題延長30分",27600,69.62093530302906
"赤センマイ",26220,70.3418373378864
"コーラ",26100,71.05944004992976
"牛タンごろごろ焼き",26100,71.77704276197312
"レバー",25840,72.48749694125283
"ハツ",24700,73.16660755379961
"たまごスープ",23940,73.8248224551911
"和牛ユッケ寿司30cm",23680,74.47588882381893
"ネギ塩タン",23650,75.12613036174328
"豚トロ",23560,75.77389740755713
"国産大判切り落としカルビ",23310,76.41479086417516
"生牛タン刺し",23240,77.05375971581836
"メガハイボール",23040,77.68722969610491
"トロたん",22240,78.29870419096484
"タン",21660,78.89423195889047
"コリコリ",21280,79.47931187123847
"チョレギサラダ",20640,80.04679539524517
"本日の赤字焼肉D",20520,80.61097959643787
"レモンサワー",20330,81.16993986984176
"鶏もも",20140,81.72367621545682
"ネギ塩牛タン",19530,82.26064100343409
"ウィンナー",19380,82.79348163789386
"にんにくホイル焼き",19380,83.32632227235364
"豚バラ",19100,83.8514644869141
"きゅうりキムチ",18240,84.35296155464094
"石焼ビビンバ",16800,84.81486674859988
"ネギ塩カルビ",16770,85.27594711185533
"センマイ焼き",16340,85.72520490169397
"ご飯(小",15450,86.1499927139955
"もやしナムル",14440,86.54701122594592
"コーンバター",14000,86.9319322209117
"ジューシー骨付きウインナー1本",14000,87.31685321587749
"とくちゃん特製石焼ビビンバ",13920,87.6995746623006
"メガハイボール",13440,88.06909881746776
"たん食べ比べセット",13340,88.43587353695659
"焼きしゃぶカルビ",13300,88.80154848217408
"和牛ユッケネギまみれ",12740,89.15182658759295
"カルピス",12600,89.49825548306215
"包み野菜",12000,89.82818776446139
"黒毛和牛の特選カルビ",11520,90.14492275460466
"焼き野菜盛合せ",11400,90.45835842193395
"牛タンソーセージ",11400,90.77179408926324
"石焼チーズビビンバ",11130,91.07780628026103
"枝豆掴み取り",11020,91.38079409201266
"ジンジャー",10800,91.67773314527199
"大根キムチ",10640,91.97027310144598
"ネギ塩ハラミ",9030,92.21854714319892
"オレンジ",8850,92.46187220073087
"とくちゃん特製石焼チーズビビンバ",8820,92.7043724275593
"炙りマシュマロアイス",8750,92.94494804941291
"ポテトサラダ",8740,93.18524872769869
"黒毛和牛の肉寿司【1貫】",8740,93.42554940598447
"タン刺し",8640,93.66310064859192
"上ハラミ飯ミニ",8360,93.89295347130006
"韓国のり",8170,94.11758236621938
"麦焼酎",8170,94.3422112611387
"黒蜜きな粉アイス",8100,94.56491555108319
"大瓶 アサヒ瓶ビール",8000,94.78487040534935
"梅酒",7790,94.99905144469103
"石焼チゲスープ",7540,95.2063588948369
"わかめスープ",7220,95.4048681508121
"大瓶 サッポロ瓶ビール",7200,95.60282751965165
"冷やしトマト",7000,95.79528801713455
"ネギ塩上ハラミ",6300,95.96850246486916
"黒烏龍茶",6200,96.13896747692543
"翠ジンソーダ",6080,96.30613316616771
"ほうれん草ナムル",5700,96.46285099983236
"ゆず蜜サワー",5510,96.61434490570818
"鶏ももバジル焼き",5460,96.76446409374483
"バニラアイス",5000,96.90193587766119
"和牛ユッケ寿司50cm",4760,97.03280901594955
"カルピスサワー",4750,97.16340721067009
"トマトサワー",4560,97.2887814776018
"はちみつ梅酒",4560,97.41415574453352
"ジャスミン茶",4500,97.53788035005823
"【5段】とくちゃんピラミッド",4500,97.66160495558294
"100円一品",4100,97.77433181839436
"1000ベロセット",4000,97.88430924552743
"ネギ塩せせり",3870,97.99071240627869
"抹茶アイス",3800,98.09519096205511
"【3段】とくちゃんピラミッド",3780,98.19911963069588
"豚バラガーリック",3780,98.30304829933664
"ノンアルビール",3230,98.3918550717466
"緑茶",3150,98.47846229561391
"緑茶ハイ",3040,98.56204514023506
"きゅうり青唐辛子和え",3040,98.6456279848562
"ジンジャーハイ",2850,98.72398690168852
"カシス",2640,98.79657200359635
"ネギ塩豚バラ",2580,98.86750744409719
"ウーロンハイ",2470,98.93541850535186
"ジャスミンハイ",2470,99.00332956660654
"ピーチ",2400,99.06931602288638
"ホタテバター",2400,99.13530247916623
"とろとろチーズ",2280,99.19798961263209
"ネギ塩豚トロ",2150,99.25710247971611
"ゆず蜜シャーベット",2100,99.31484062896098
"抹茶黒蜜きな粉アイス",2100,99.37257877820585
"ゆず梅酒",2090,99.43004198388289
"ゆずシャーベット",2000,99.48503069744943
"さくらアイス",1980,99.53946952388031
"いちごアイス",1980,99.5939083503112
"グレープフルーツサワー",1900,99.64614762819942
"大瓶 キリン瓶ビール",1600,99.69013859905264
"ゼンマイナムル",1520,99.73193002136321
"赤玉パンチ",1330,99.76849751588496
"ネギ塩鶏もも",1290,99.80396523613538
"コークハイ",1140,99.83530880286831
"ネギ",1100,99.86555259532992
"生レモン追加",1050,99.89442166995235
"翠ジンソーダ",950,99.92054130889646
"やみつきニンニク",800,99.94253679432308
"おろしポン酢",600,99.95903340839304
"芋焼酎",570,99.9747051917595
"赤玉パンチ",380,99.98515304733714
"レトルトカレー(お子様用)",380,99.99560090291477
"たまご",160,100
"コチュジャン",0,100
"おろしニンニク",0,100
"白鹿ワンカップ",0,100
"お冷",0,100
"セセリと鶏ももの青唐焼き",0,100
"トニスプリン",0,100
"ホルモンの塩煮込み",0,100
"袋詰め放題",0,100
"牛並ハラミ",0,100
"肉カレーハーフ",0,100
"豆腐と豆の和風サラダ",0,100
"コース",0,100